"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10262","should clear form after successful submission","chromium","Sun Dec 07 10:59:19 UTC 2025","failed","Sun Dec 07 10:59:30 UTC 2025","Form Validation Tests","form-validation.spec.ts","",""
"","77","should display authentication scheme information","chromium","Sun Dec 07 10:58:19 UTC 2025","skipped","Sun Dec 07 10:58:19 UTC 2025","Authentication Tests","authentication.spec.ts","",""
"","5168","should handle edit operations efficiently","chromium","Sun Dec 07 10:59:41 UTC 2025","failed","Sun Dec 07 10:59:46 UTC 2025","Performance Tests","performance.spec.ts","",""
"","198","should display error for empty form","chromium","Sun Dec 07 11:03:45 UTC 2025","passed","Sun Dec 07 11:03:45 UTC 2025","User Management","user-management.spec.ts","",""
"","5728","should have responsive design","chromium","Sun Dec 07 10:58:30 UTC 2025","failed","Sun Dec 07 10:58:35 UTC 2025","UI/UX Tests","ui-ux.spec.ts","",""
"","2299","should handle API errors gracefully","chromium","Sun Dec 07 10:58:13 UTC 2025","passed","Sun Dec 07 10:58:16 UTC 2025","API Integration Tests","api-integration.spec.ts","",""
"","308","should have accessible form validation messages","chromium","Sun Dec 07 11:01:26 UTC 2025","passed","Sun Dec 07 11:01:26 UTC 2025","Accessibility Tests","accessibility.spec.ts","",""
"","311","should accept valid email formats","chromium","Sun Dec 07 10:58:24 UTC 2025","passed","Sun Dec 07 10:58:24 UTC 2025","Form Validation Tests","form-validation.spec.ts","",""
"","5183","should display table headers correctly","chromium","Sun Dec 07 11:01:33 UTC 2025","failed","Sun Dec 07 11:01:38 UTC 2025","UI/UX Tests","ui-ux.spec.ts","",""
"","1222","should send correct POST request for user creation","chromium","Sun Dec 07 10:58:16 UTC 2025","passed","Sun Dec 07 10:58:17 UTC 2025","API Integration Tests","api-integration.spec.ts","",""
"","183","should have accessible button states","chromium","Sun Dec 07 11:02:59 UTC 2025","passed","Sun Dec 07 11:02:59 UTC 2025","Accessibility Tests","accessibility.spec.ts","",""
"","233","should validate email format","chromium","Sun Dec 07 10:58:23 UTC 2025","passed","Sun Dec 07 10:58:24 UTC 2025","Form Validation Tests","form-validation.spec.ts","",""
"","30018","should edit an existing user","chromium","Sun Dec 07 11:00:10 UTC 2025","broken","Sun Dec 07 11:00:40 UTC 2025","User Management","user-management.spec.ts","",""
"","67","should persist authentication across page navigation","chromium","Sun Dec 07 10:58:19 UTC 2025","skipped","Sun Dec 07 10:58:19 UTC 2025","Authentication Tests","authentication.spec.ts","",""
"","228","should enforce maximum length for name","chromium","Sun Dec 07 10:58:57 UTC 2025","passed","Sun Dec 07 10:58:57 UTC 2025","Form Validation Tests","form-validation.spec.ts","",""
"","257","should have keyboard navigation support","chromium","Sun Dec 07 11:00:45 UTC 2025","passed","Sun Dec 07 11:00:45 UTC 2025","UI/UX Tests","ui-ux.spec.ts","",""
"","77","should display locked/unlocked icons for protected endpoints","chromium","Sun Dec 07 10:58:19 UTC 2025","skipped","Sun Dec 07 10:58:19 UTC 2025","Authentication Tests","authentication.spec.ts","",""
"","2256","should measure API response times","chromium","Sun Dec 07 11:01:19 UTC 2025","passed","Sun Dec 07 11:01:22 UTC 2025","Performance Tests","performance.spec.ts","",""
"","71","should show error message for invalid credentials","chromium","Sun Dec 07 10:58:19 UTC 2025","skipped","Sun Dec 07 10:58:19 UTC 2025","Authentication Tests","authentication.spec.ts","",""
"","183","should display loading state during API calls","chromium","Sun Dec 07 10:58:16 UTC 2025","passed","Sun Dec 07 10:58:16 UTC 2025","API Integration Tests","api-integration.spec.ts","",""
"","30022","should refresh user list after successful creation","chromium","Sun Dec 07 10:59:22 UTC 2025","broken","Sun Dec 07 10:59:52 UTC 2025","API Integration Tests","api-integration.spec.ts","",""
"","197","should display the application title","chromium","Sun Dec 07 10:58:18 UTC 2025","passed","Sun Dec 07 10:58:18 UTC 2025","User Management","user-management.spec.ts","",""
"","30021","should delete the 10 previously created users","chromium","Sun Dec 07 11:06:19 UTC 2025","broken","Sun Dec 07 11:06:49 UTC 2025","User Management","user-management.spec.ts","",""
"","177","should require email field","chromium","Sun Dec 07 10:58:23 UTC 2025","passed","Sun Dec 07 10:58:23 UTC 2025","Form Validation Tests","form-validation.spec.ts","",""
"","30023","should delete a user","chromium","Sun Dec 07 11:01:42 UTC 2025","broken","Sun Dec 07 11:02:13 UTC 2025","User Management","user-management.spec.ts","",""
"","302","should show validation feedback on blur","chromium","Sun Dec 07 10:59:30 UTC 2025","passed","Sun Dec 07 10:59:31 UTC 2025","Form Validation Tests","form-validation.spec.ts","",""
"","90","should show authorized state after successful authentication","chromium","Sun Dec 07 10:58:19 UTC 2025","skipped","Sun Dec 07 10:58:19 UTC 2025","Authentication Tests","authentication.spec.ts","",""
"","10281","should trim whitespace from inputs","chromium","Sun Dec 07 10:58:46 UTC 2025","failed","Sun Dec 07 10:58:56 UTC 2025","Form Validation Tests","form-validation.spec.ts","",""
"","68","should allow logout and clear authentication state","chromium","Sun Dec 07 10:58:19 UTC 2025","skipped","Sun Dec 07 10:58:19 UTC 2025","Authentication Tests","authentication.spec.ts","",""
"","1213","should announce dynamic content changes","chromium","Sun Dec 07 11:03:00 UTC 2025","passed","Sun Dec 07 11:03:01 UTC 2025","Accessibility Tests","accessibility.spec.ts","",""
"","5269","should efficiently update user list after operations","chromium","Sun Dec 07 10:59:05 UTC 2025","failed","Sun Dec 07 10:59:11 UTC 2025","Performance Tests","performance.spec.ts","",""
"","1258","should display appropriate empty state","chromium","Sun Dec 07 11:06:16 UTC 2025","passed","Sun Dec 07 11:06:17 UTC 2025","UI/UX Tests","ui-ux.spec.ts","",""
"","5193","should load user list quickly","chromium","Sun Dec 07 10:58:16 UTC 2025","failed","Sun Dec 07 10:58:22 UTC 2025","Performance Tests","performance.spec.ts","",""
"","30023","should have sufficient button sizes for touch targets","chromium","Sun Dec 07 11:02:28 UTC 2025","broken","Sun Dec 07 11:02:58 UTC 2025","Accessibility Tests","accessibility.spec.ts","",""
"","769","should load page within acceptable time","chromium","Sun Dec 07 10:58:03 UTC 2025","passed","Sun Dec 07 10:58:04 UTC 2025","Performance Tests","performance.spec.ts","",""
"","30020","should create 10 users automatically","chromium","Sun Dec 07 11:04:47 UTC 2025","broken","Sun Dec 07 11:05:17 UTC 2025","User Management","user-management.spec.ts","",""
"","5173","should display user list","chromium","Sun Dec 07 10:58:30 UTC 2025","failed","Sun Dec 07 10:58:35 UTC 2025","User Management","user-management.spec.ts","",""
"","86","should display Swagger UI authentication section","chromium","Sun Dec 07 10:58:17 UTC 2025","skipped","Sun Dec 07 10:58:17 UTC 2025","Authentication Tests","authentication.spec.ts","",""
"","2977","should handle rapid form submissions","chromium","Sun Dec 07 10:58:49 UTC 2025","failed","Sun Dec 07 10:58:52 UTC 2025","Performance Tests","performance.spec.ts","",""
"","255","should require name field","chromium","Sun Dec 07 10:58:22 UTC 2025","passed","Sun Dec 07 10:58:22 UTC 2025","Form Validation Tests","form-validation.spec.ts","",""
"","30018","should cancel edit mode","chromium","Sun Dec 07 11:03:15 UTC 2025","broken","Sun Dec 07 11:03:45 UTC 2025","User Management","user-management.spec.ts","",""
